TRUNCATE TABLE trees;
  INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 345.8558, 0, 202.4751, '80047dff-bf50-4818-a821-76d36d33f6fd');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 215.5385, 0, 421.9291, '98357f70-3b69-4833-b651-e18241053a20');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 210.6631, 0, 413.0416, 'fdaf069a-3136-47d9-9fe8-cc5219713c6a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 215.4562, 0, 433.7766, 'd7509e9b-cce8-4fce-9f68-8aea208f1988');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 227.267, 0, 430.5061, '1fc9e4cd-1462-4285-baf0-bfee5743ea4e');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 181.7462, 0, 472.5815, 'dda44f4c-050a-45e3-81d6-e5464fed3108');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 176.6986, 0, 475.5794, '9176469a-f993-4d82-ae7f-02a16fa03e21');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 185.2705, 0, 468.3599, 'aaf72cfa-edd8-4ecc-afa5-c02046741333');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 174.2443, 0, 457.757, '4f88134c-c1e7-43ea-9c19-5d34622f5160');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 166.7567, 0, 479.0869, '275d276c-f7db-4855-8bc0-651b4189e4de');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 189.7896, 0, 462.7162, '04a79c02-3121-4179-b23c-e5b6b940a4a2');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 194.2323, 0, 477.0699, 'd65d8919-2a0f-4648-930c-31249ba1a9cd');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 173.9466, 0, 487.1682, '5f0209e2-375a-4090-846a-12701fc9c6f1');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 185.492, 0, 458.6422, '1a17d143-2a84-42b1-b376-8c413d49eac3');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 164.9101, 0, 475.1691, '253de687-24df-4951-8e54-beac99f0368a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 198.3505, 0, 464.5988, '566f7cf5-d1dc-46a3-b6b0-01d52fadd605');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 190.7466, 0, 467.474, 'e2d81a62-9744-4b5d-9530-f8673bc4f276');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 91.89307, 0, 476.6688, 'fe2ad1be-dc7a-48dc-8d17-bf87733df51a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 95.04324, 0, 469.128, '1e45c062-559d-4bc7-8d07-92e94234790f');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 79.94701, 0, 482.4348, 'cc997761-0a52-4de3-804a-19dce88599d5');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 81.84782, 0, 468.1466, '6654cb18-06df-40bd-959e-27c35ce7b86f');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 73.88766, 0, 481.3714, '082993cb-02f5-4e9b-b903-dceddd8d5f95');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 88.48633, 0, 464.6685, 'dadc32fc-9dbd-4e23-85ce-2c7049cb48ff');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 90.6841, 0, 472.952, 'a34037b6-50dd-4b73-972f-676bb25e34e0');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 92.60631, 0, 488.5338, '9c9f7edb-b7f6-4057-9205-b7cc03e1a76d');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 101.6778, 0, 479.059, '2637b99e-903a-4735-bfd5-70f5b5e8e068');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 92.55552, 0, 470.0627, '218d09d4-6dab-41cd-8d8f-da756e98644a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 99.60761, 0, 489.0037, '13be2345-6c24-464c-8200-1f6d5262344a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 79.4006, 0, 473.1337, 'e03f010a-5a91-4404-929e-3019a02db3e4');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 36.22808, 0, 423.354, '9ac5d401-ccf0-4419-b62f-80314672b42e');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 44.20435, 0, 425.0125, '4b5201ee-06e6-4b6b-96f2-87f70b4a12d9');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 42.07959, 0, 407.0252, '3e99797a-c13f-4770-b95a-0a697659d0dd');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 31.3195, 0, 424.2306, '541be6c1-04b2-43d3-9df8-5d106620c8de');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 26.55672, 0, 408.0196, 'f3c35805-fc5a-4182-9ed8-8a4fc6370953');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 48.18856, 0, 432.0839, '014a4aa3-0b2c-479e-af37-20f54c703956');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 51.49942, 0, 427.4893, '4d1c2eca-d403-49dd-b79e-e4abe2d1daf1');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 47.27488, 0, 411.7544, '536e3fdb-c3e2-4d78-839c-847a1cad0469');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 22.75923, 0, 424.4618, 'f1de5b16-30c9-4e12-a566-8201c5616eae');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 46.209, 0, 431.2147, '6dd3fa42-d8a2-4586-80cb-023706053f85');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 33.82817, 0, 433.5487, '85032228-fc47-429e-92ef-d0850caa9de4');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 43.33682, 0, 421.2816, '1b471124-1313-45c6-ae81-74c77553f474');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 54.64387, 0, 366.1655, 'ee4d3539-903b-42f7-b1d7-696d5c850e40');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 54.12013, 0, 381.2558, '97fb2f20-b8cb-4b83-a9ee-1720f7eff84c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 57.25719, 0, 351.7917, 'd51b45cc-1602-4dd0-9cdd-49dbce319001');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 65.19714, 0, 350.9949, '339ca08e-640b-4f61-b7ce-f22c182b996c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 70.66663, 0, 373.637, 'cad27f3e-3ce2-44f8-93ef-2c37bb19c3ed');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 41.44285, 0, 365.5095, '910b12ed-54fd-4fbe-8b24-9be1cb6c2316');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 48.9581, 0, 372.506, '0a771bb6-dc64-4c71-8349-e89017a9f3cd');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 49.17313, 0, 378.8006, 'c697286b-2b59-4347-a1ad-8d541918ea0c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 43.67774, 0, 365.575, '2bbb2c95-126c-4c48-a63d-8f406777c4d9');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 41.92946, 0, 375.6721, 'c45cd960-7599-44f3-9df4-59dad5015b48');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 53.80788, 0, 347.8643, 'e6e9f3a4-374d-4626-866a-05c6b4b9c659');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 55.53803, 0, 365.3481, 'a42a4799-c394-4943-bbdb-3550685de815');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 39.16345, 0, 127.1894, '31935d41-84bb-411a-a242-39fcfe2ffd0e');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 37.97711, 0, 124.4935, '89c3ec10-b8a2-43c1-9c97-d980778858a3');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 40.82421, 0, 118.3272, 'f8603ad7-4e78-4919-87f8-a2fabace0106');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 39.13435, 0, 122.5794, 'd870720c-6288-40f7-a8a0-517109d20e12');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 21.20936, 0, 131.7927, 'af7ef6ad-f6a0-47ca-b866-ff054eaf7beb');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 34.78201, 0, 112.1001, 'ee9e1529-b09a-4c44-8669-d3f79511dab4');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 42.68122, 0, 123.1985, '76f00d06-fc03-4187-a170-d63cb3b55688');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 41.01256, 0, 131.2305, 'c4c9e3b7-c885-48e8-8e5e-415b33ce1d33');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 40.37039, 0, 120.3929, '7ecdc2da-ab8b-4cd5-9ae7-979ffb6901d8');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 26.87096, 0, 130.5949, 'e7ada909-cde1-48a3-a44a-b33acac93dff');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 28.11806, 0, 116.0871, '7b09aa29-469a-4020-b1bd-c448c917240a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 53.0135, 0, 116.268, 'a64513d5-1322-4a01-a0f0-f02c495fcdbb');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 163.3374, 0, 244.1535, '77d13795-be5b-4024-9ec7-fb0f72db0787');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 169.1646, 0, 228.2324, 'c5a5acd5-cb69-42ec-af66-641417011ad3');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 162.8657, 0, 226.7791, '5dbd3c1f-1305-44a0-b106-ae88f408b7e8');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 155.7549, 0, 232.2117, '60534ea9-14df-4d58-bc76-5749a6b98445');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 159.2523, 0, 239.8396, '6896947c-e8c1-477a-8f5b-f5f8882ae905');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 151.6105, 0, 236.6019, 'd328f5c0-0e15-426c-9d88-b39338832a0e');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 156.4255, 0, 245.0807, '0e783fcb-51e9-4f73-b68b-4b0f572bc2a8');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 173.9523, 0, 242.0431, '9fab84d6-4d04-464a-8e00-20181f782a04');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 163.9563, 0, 225.8501, '359062f4-2880-4e5c-a931-07936ae90215');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 171.5279, 0, 250.7957, 'ef06c8b4-9d63-4f55-9d87-c4698b969bf9');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 151.4214, 0, 247.4929, 'b5734bbe-3f2a-4134-b5a8-e90b4c2cee7c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 165.4754, 0, 234.8961, 'a66c9ffe-a8e4-4b74-8f97-fb2e2acf0fc0');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 177.1361, 0, 233.636, '83787042-cbac-4567-aa8a-76aa2d95578d');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 151.358, 0, 230.4871, 'd1bee9d6-2dc1-4f5f-8230-8a1bdb967657');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 148.9227, 0, 249.6966, '2e695838-acfc-4fcc-8b26-6f6b292e00c6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 158.4552, 0, 259.7408, 'e1593fc9-0d26-4edb-8ef3-068168972ac6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 167.5122, 0, 235.7177, '2dca270c-f8d8-405d-b6e2-91577ea4f18d');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 163.4031, 0, 230.4537, 'e654c2fc-ba5c-473d-af25-d1b3a19c5352');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 166.5981, 0, 241.5962, '96071e91-9504-44d2-a7f8-a1f18ac6c05c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 148.3085, 0, 245.8389, '835c32c2-8b88-403e-923d-05586771c21e');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 156.4575, 0, 235.8552, 'c9eabc02-e874-4a43-b778-77072ad7c450');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 165.5627, 0, 227.2373, '2c7b1747-a417-4d70-8b94-32db74771b8f');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 146.357, 0, 241.7392, '66b8f557-494f-4e62-a5b8-1d6dc7ec6250');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 46.31552, 0, 270.1168, 'a9b58ec4-b2cb-4065-810b-9895c489bbec');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 46.97581, 0, 271.3793, '9b2d4f87-bcb6-49b1-ba9a-47194e654616');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 57.2576, 0, 257.5299, 'e31eaca8-46ed-4e6f-8cc8-00933f2f0011');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 45.79101, 0, 271.727, '5f87fde8-792b-4e7c-a282-7bbe78b4a6ee');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 40.35772, 0, 279.5947, 'f60d2ee8-097d-411f-9eb2-834cd7c22460');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 60.72375, 0, 266.4878, '733076b8-0003-4603-92d4-d78ae4f683b6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 43.70265, 0, 281.3802, '8a3be9a0-523e-48f5-93ed-ca33c51b0fc1');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 45.66735, 0, 282.1005, '7bd0b6ca-dc6f-4dfb-a794-7f5e6f93c73b');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 43.07364, 0, 261.4402, '0c7208e3-f680-4f77-8dac-2d0880a80eea');
